id,formatId,datasource,abstract,origin,title,keywords,northBoundCoord,southBoundCoord,eastBoundCoord,westBoundCoord
doi:10.6067:XCV8125THN_meta$v=1381343990512,http://ns.dataone.org/metadata/schema/onedcx/v1.0,urn:node:TDAR,"A horse clam shell fragment recovered from a burial pit at site DcRu-4, British Columbia, was submitted for AMS radiocarbon dating. The shell fragment was originally part of two large shell halves that were nested and placed next to the interred individual of the burial feature. It is believed that the shell date will fall approximately withing the last 1500 years.","['Cummings, Linda Scott (PaleoResearch Institute)', 'Kovacik, Peter (PaleoResearch Institute)']","AMS RADIOCARBON DATING OF SHELL FROM A BURIAL PIT AT SITE DcRu-4, VICTORIA, BRITISH COLUMBIA, CANADA","['Data Recovery / Excavation', 'Shell', 'Shell', 'AMS Radiocarbon Dating']",,,,
doi:10.6067:XCV8QN67P3_meta$v=1381344334230,http://ns.dataone.org/metadata/schema/onedcx/v1.0,urn:node:TDAR,"Charcoal recovered from an intact midden deposit at site DcRu-63 on southern Vancouver Island, British Columbia, was submitted for identification and AMS radiocarbon dating. Site DcRu-63 is a large shell midden occupation site. AMS radiocarbon dating was undertaken because the age of the site is currently unknown.","['Puseman, Kathryn (PaleoResearch Institute)']","AMS RADIOCARBON DATING OF A CHARCOAL SAMPLE FROM A SHELL MIDDEN AT SITE DcRu-63, VANCOUVER ISLAND, BRITISH COLUMBIA, CANADA","['Data Recovery / Excavation', 'Macrobotanical', 'Charcoal Identification', 'AMS Radiocarbon Dating']",,,,
doi:10.6067:XCV8416WNV_meta$v=1468880543413,http://ns.dataone.org/metadata/schema/onedcx/v1.0,urn:node:TDAR,"Four Paleoindian lithic tools from Williston Lake, located in northern British Columbia, were submitted for protein residue analysis. The goal of this analysis was to extract and identify any blood residues that might be present on the surfaces of these tools. A calcined bone fragment from a hearth feature was also submitted for AMS radiocarbon dating.","['Yost, Chad (PaleoResearch Institute)', 'Cummings, Linda Scott (PaleoResearch Institute)']","PROTEIN RESIDUE ANALYSIS OF LITHIC ARTIFACTS AND AMS RADIOCARBON DATING OF BONE FOR SITES FROM WILLISTON LAKE, BRITISH COLUMBIA, CANADA","['Data Recovery / Excavation', 'Fauna', 'Bone', 'Protein Residue Analysis', 'AMS Radiocarbon Dating', 'AMS Radiocarbon Analysis', '11-158']",57.326523,54.927143,-121.05835,-125.78247
sha256:98f0d9fbfe098415b11d8ef7b8cb092f099c8cd8be5829c178071b26f7eb1c49,science-on-schema.org/Dataset;ld+json,urn:node:BOREALIS,"Analytical data in support of the manuscript \""Wind and river effects on a coastal current in Chatham Sound, British Columbia\"", which is submitted to Journal of Geophysical Research: Oceans. One could use the data to generate any figure in the manuscript. (2024-1-26)","['Wang, Li', 'Pawlowicz, Rich', 'Ai, Weihua', 'Covert, Paul']","Data used in the manuscript of \""Wind and river effects on a coastal current in Chatham Sound, British Columbia\""","['HF radar', 'river plume', 'surface current', 'coastal ocean', 'Earth and Environmental Sciences', 'subtidal current']",,,,
sha256:a2811f9fc3a4ea37e57b05439a734b0aaf3639682df1d4a803347b02e1306f3a,science-on-schema.org/Dataset;ld+json,urn:node:BOREALIS,"This Report describes online gambling participation on the British Columbia Lottery Corporation’s PlayNow.com platform, by BC residents in June 2015. Data were provided to the Centre for Gambling Research at UBC (PI: Dr Luke Clark) by BCLC, in a de-identified format and under a confidentiality agreement, in a project that was funded by the BC Ministry of Finance. In this Report, we describe data for five game categories: lottery, eCasino, sports betting, social games (including Keno), and bingo. We focus on behavioural variables reflecting gambling intensity (e.g. total number of bets, total monthly spend). Analyses include an examination of how participation rates vary across the five game categories, and the distribution in engagement across different game categories, including Pareto analyses that describe the proportion of overall gambling activity attributable to the top 20% most engaged gamblers.","['Lesch, Tilman', 'Clark, Luke']",Online Gambling in British Columbia: a Descriptive Report on Gambling Participation on the PlayNow.com Platform,"['behavioural tracking', 'gambling harm', 'problem gambling', 'Social Sciences', 'online gambling']",,,,
sha256:b8cc896547e10932cf04f76fd7367e609c59d0c27f322fc89d1083a960ff8244,science-on-schema.org/Dataset;ld+json,urn:node:DRYAD,"The negative impacts of non-native species have been well documented, but some non-natives can play a positive role in native ecosystems. One way that non-native plants can positively interact with native butterflies is by provisioning nectar. Relatively little is known about the role of phenology in determining native butterfly visitation to non-native plants for nectar, yet flowering time directly controls nectar availability. Here, we investigate the phenological patterns of flowering by native and non-native plants and nectar foraging by native butterflies in an oak savanna on Vancouver Island, British Columbia, Canada. We also test whether native butterflies select nectar sources in proportion to their availability. We found that non-native plants were well integrated into butterfly nectar diets (83% of foraging observations) and that visitation to non-natives increased later in the season when native plants were no longer flowering. We also found that butterflies selected non-nati...","['Stephanie A. Rivest', 'E. M. Wolkovich', 'Heather M. Kharouba']","Butterfly nectar foraging and flowering plant community data from field surveys in Victoria, British Columbia, Canada",,,,,
sha256:cc58f69f9d41d6366218bc33f26bfad7438259f4431209f9fa0746fe206e7ecd,science-on-schema.org/Dataset;ld+json,urn:node:DRYAD,"Intermittent streams that periodically cease surface flow have long been understudied in ecology and underrepresented in conservation policy. However, they currently account for 30-50% of the global river network, and that number is rising due to anthropogenic water extraction, land-use change, and climate change. We explored the Coleoptera biodiversity of the south Pacific-coast region of British Columbia, Canada, using pitfall traps at perennial and naturally-intermittent stream reaches, in shoreline, dry streambed, and riparian habitats, in both flowing (spring/early summer) and non-flowing (late summer) phases. We found that habitats around perennial reaches had significantly greater abundance of Coleoptera than those around intermittent reaches. However, neither habitat type nor flow regime were significant predictors of taxon richness, and intermittent stream sites featured unique taxa that were not found near perennial streams. This aligns with recent results from other taxonomic...","['Chelsea J. Little', 'Zoey B. D. Schutz']",Coleoptera associated with intermittent streams and their riparian zones in south coastal British Columbia,"['coleoptera', 'pitfall trap', 'riparian zone', 'intermittent streams']",,,,
sha256:0aea355f5b91eda2725a3014fb64ad81691923ea0e8b6bd104bd3125c3781ea9,science-on-schema.org/Dataset;ld+json,urn:node:DRYAD,"The morphology of two new bivalved arthropods, Loricicaris spinocaudatus gen. et sp. nov. and Nereocaris briggsi sp. nov. from the middle Cambrian (Series 3, Stage 5) Burgess Shale Formation (Collins Quarry locality on Mount Stephen, Yoho National Park, British Columbia, Canada), is described. The material was originally assigned to the genus Branchiocaris, but exhibits distinctive character combinations meriting its assignment to other taxa. Loricicaris spinocaudatus possesses an elongate and spinose abdomen comparable to the contemporaneous Perspicaris and Canadaspis, as well as chelate second head appendages and subtriangular exopods, comparable to Branchiocaris. Nereocaris briggsi possesses a laterally compressed carapace, elongate and delicate appendages and a medial eye located between a pair of lateral eyes on a rhomboidal eye stalk. Although undoubtedly congeneric with Nereocaris exilis from a slightly younger horizon of the Burgess Shale Formation, N. briggsi differs in overall...","['David A. Legg', 'Jean-Bernard Caron']","New Middle Cambrian bivalved arthropod from the Burgess Shale (British Columbia, Canada)",,,,,
sha256:9dd36e88d22acb5c383ebce1cdea6b1c8114b7a710cf3a1aaf9b157a7ee54c28,science-on-schema.org/Dataset;ld+json,urn:node:DRYAD,"Aim
Few long-term fire histories have been reconstructed in coastal temperate rain forests, and little is known regarding the spatial and temporal characteristics of lightning and human ignitions. We use a multidisciplinary approach to assess the impact, scale and ecological legacies of historic fires.
Location
We focus on perhumid temperate rain forests located on the central coast of British Columbia, Canada.
Methods
We reconstructed 700 years of temporal and spatial aspects of fire activity with 30 plots on Hecate Island using fire scars and forest-stand establishment. We then conducted a paired study of 20 former indigenous habitation and control sites on 15 islands to relate fire activity to patterns of human settlement. We mapped 15 years of lightning strike densities and use mixed-effects modelling to assess whether fire activity predicted the distribution and abundance of traditional plants.
Results
Sixteen low- and mixed-severity fires were recorded from 1376 to 1893. Th...","['Kira M. Hoffman', 'Ken P. Lertzman', 'Brian M. Starzomski']",Ecological legacies of anthropogenic burning in a British Columbia coastal temperate rain forest,"['coastal temperate rain forest', 'Coastal temperate rain forests', 'human-driven fire activity', 'fire history', 'Fire ecology', 'anthropogenic burning', 'Ethnobotany', 'ecological legacies', 'Late Holocene']",,,,
sha256:c99d35e39dd0686c825cfd43c279fd4675c413934accf70238cc7b38f59fc4de,science-on-schema.org/Dataset;ld+json,urn:node:DRYAD,"Lobopodians, a paraphyletic group of Palaeozoic vermiform animals bearing metameric appendages, are key to the origin of extant panarthropods. First discovered in 1983 on Mount Stephen (Yoho National Park, British Columbia), the Cambrian (Wuliuan) Burgess Shale lobopodian nicknamed âCollinsâ monsterâ is formally described as Collinsovermis monstruosus gen. et sp. nov. A formal systematic revision of the poorly known lobopodian Acinocricus stichus from Utah is also provided. The body of Collinsovermis is plump and compact, lacking space between lobopod pairs but shows the diagnostic suspension-feeding characters of luolishaniid lobopodians. The six anterior lobopod pairs are elongate, adorned with long and slightly curved ventral spinules arranged in a chevron-like pattern. The eight posterior lobopod pairs, which attach to a truncated body termination, are stout and smooth, each terminated by a single strong recurved claw. Each somite bears a pair of dorsal spines; somites 4 and posteri...","['Jean-Bernard Caron', 'CÃ©dric Aria']","The Collinsâ monster, a spinous suspension-feeding lobopodian from the Cambrian Burgess Shale of British Columbia","['Lobopodian', 'suspension feeding', 'Cambrian explosion', 'Panarthropod', 'Luolishaniid', 'Burgess Shale']",,,,
